rNuc,fastRepair,slowRepair,verySlowRepair,misrepairCoefficient,totalLethal,totalVisible,mutationRate,DSBPerUm,totalInteraction,nonIntraChromosomal,intraChromDeletion,interArm,mutation,aberrationRateDic,aberrationRateDel,totalLethal,visibleDic,visibleDel,totalVisible
2.5,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
2.6,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
2.7,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
2.8,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
2.9,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.1,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.2,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.3,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.4,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.5,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.6,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.7,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.8,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
3.9,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.1,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.2,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.3,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.4,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.5,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.6,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.7,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.8,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
4.9,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
5,0.5663,0.4337,0,0.000650639,0.142581,0.595783,0,0,0,0,0,0,0,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,6.90818e-310,0
